prop,total,x1,fac
1,4,550,f1
1,20,650,f1
1,20,750,f1
1,18,850,f1
0,18,950,f1
1,18,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
1,20,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
1,3,750,f1
1,20,850,f1
1,20,950,f1
0,10,550,f1
0,20,650,f1
0.82,17,750,f1
1,20,850,f1
1,20,950,f1
1,9,350,f1
1,20,450,f1
1,20,550,f1
1,20,650,f1
1,9,950,f1
0,5,550,f1
0,20,650,f1
0,20,750,f1
0,16,850,f1
1,13,450,f1
1,20,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
0,12,50,f1
0,20,150,f1
0,20,250,f1
0,20,350,f1
0.87,15,450,f1
1,20,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
1,7,150,f1
1,20,250,f1
1,20,350,f1
1,20,450,f1
0.24,17,550,f1
0,20,650,f1
0.33,15,750,f1
1,20,850,f1
1,20,950,f1
0,6,450,f1
0,20,550,f1
0,20,650,f1
0,20,750,f1
0,20,850,f1
0.31,13,950,f1
1,8,150,f1
1,20,250,f1
1,14,350,f1
1,12,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
0,2,250,f1
0,1,350,f1
1,3,550,f1
1,1,650,f1
1,5,750,f1
1,13,850,f1
1,19,950,f1
0,3,-50,f1
0,20,50,f1
0,20,150,f1
0,20,250,f1
0,20,350,f1
0,20,450,f1
0,13,550,f1
1,1,750,f1
1,20,850,f1
1,20,950,f1
1,19,750,f1
1,20,850,f1
1,20,950,f1
1,15,50,f1
1,20,150,f1
1,20,250,f1
1,13,350,f1
1,12,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
0,7,450,f1
0.31,16,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
1,9,450,f1
1,20,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
0,3,150,f1
0,20,250,f1
0,20,350,f1
0,20,450,f1
0,17,550,f1
1,4,850,f1
1,20,950,f1
0,15,450,f1
0,19,550,f1
1,2,850,f1
1,20,950,f1
1,16,250,f1
1,20,350,f1
1,20,450,f1
1,20,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
1,9,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
0,18,250,f1
0,19,350,f1
0,12,450,f1
1,17,950,f1
1,12,550,f1
1,20,650,f1
1,20,750,f1
1,20,850,f1
1,20,950,f1
0,12,550,f2
0,20,650,f2
0.71,17,750,f2
1,16,850,f2
1,8,550,f2
1,20,650,f2
1,20,750,f2
1,20,850,f2
1,20,950,f2
1,4,650,f2
1,20,750,f2
1,20,850,f2
1,20,950,f2
0,16,150,f2
0,20,250,f2
0,20,350,f2
0,20,450,f2
0,10,550,f2
1,17,550,f2
1,20,650,f2
1,20,750,f2
1,20,850,f2
1,20,950,f2
1,19,850,f2
1,20,950,f2
0,17,350,f2
0,20,450,f2
0,20,550,f2
0,20,650,f2
0,13,750,f2
1,6,550,f2
1,20,650,f2
1,20,750,f2
1,20,850,f2
1,20,950,f2
1,1,350,f2
1,17,650,f2
1,20,750,f2
1,20,850,f2
1,20,950,f2
0,19,150,f2
